"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","174","/v2/pet addNewCat","","Tue Aug 13 18:51:47 TRT 2024","passed","Tue Aug 13 18:51:47 TRT 2024","","Pet Tests","Pet Tests","/v2/pet addNewCat"
"","228","/v2/user/login loginUser","","Tue Aug 13 18:51:51 TRT 2024","passed","Tue Aug 13 18:51:51 TRT 2024","","User Tests","User Tests","/v2/user/login loginUser"
"","166","/v2/pet deletePetError","","Tue Aug 13 18:51:48 TRT 2024","passed","Tue Aug 13 18:51:49 TRT 2024","","Pet Tests","Pet Tests","/v2/pet deletePetError"
"","223","/v2/user/ecem deleteUser","","Tue Aug 13 18:51:51 TRT 2024","passed","Tue Aug 13 18:51:51 TRT 2024","","User Tests","User Tests","/v2/user/ecem deleteUser"
"","287","/v2/user/ecem updateUser","","Tue Aug 13 18:51:50 TRT 2024","passed","Tue Aug 13 18:51:51 TRT 2024","","User Tests","User Tests","/v2/user/ecem updateUser"
"","957","/v2/pet addNewDog","","Tue Aug 13 18:51:46 TRT 2024","passed","Tue Aug 13 18:51:47 TRT 2024","","Pet Tests","Pet Tests","/v2/pet addNewDog"
"","253","/v2/user/ecem getUserInfo","","Tue Aug 13 18:51:50 TRT 2024","passed","Tue Aug 13 18:51:50 TRT 2024","","User Tests","User Tests","/v2/user/ecem getUserInfo"
"","341","/v2/pet/findByStatus?status=available getPetAvailableStatus","","Tue Aug 13 18:51:47 TRT 2024","passed","Tue Aug 13 18:51:47 TRT 2024","","Pet Tests","Pet Tests","/v2/pet/findByStatus?status=available getPetAvailableStatus"
"","198","/v2/pet updateExistingPetInvalidData","","Tue Aug 13 18:51:48 TRT 2024","passed","Tue Aug 13 18:51:48 TRT 2024","","Pet Tests","Pet Tests","/v2/pet updateExistingPetInvalidData"
"","351","/v2/user/createWithArray createWithArray","","Tue Aug 13 18:51:52 TRT 2024","passed","Tue Aug 13 18:51:52 TRT 2024","","User Tests","User Tests","/v2/user/createWithArray createWithArray"
"","317","/v2/user userCreate","","Tue Aug 13 18:51:50 TRT 2024","passed","Tue Aug 13 18:51:50 TRT 2024","","User Tests","User Tests","/v2/user userCreate"
"","165","/v2/pet updateExistingPet","","Tue Aug 13 18:51:48 TRT 2024","passed","Tue Aug 13 18:51:48 TRT 2024","","Pet Tests","Pet Tests","/v2/pet updateExistingPet"
"","179","/v2/pet/12345a getPetInfoFailure","","Tue Aug 13 18:51:47 TRT 2024","passed","Tue Aug 13 18:51:48 TRT 2024","","Pet Tests","Pet Tests","/v2/pet/12345a getPetInfoFailure"
"","168","/v2/pet/12345 deletePet","","Tue Aug 13 18:51:48 TRT 2024","passed","Tue Aug 13 18:51:48 TRT 2024","","Pet Tests","Pet Tests","/v2/pet/12345 deletePet"
"","259","/v2/user/createWithList createWithList","","Tue Aug 13 18:51:52 TRT 2024","passed","Tue Aug 13 18:51:52 TRT 2024","","User Tests","User Tests","/v2/user/createWithList createWithList"
"","227","/v2/pet/12345 getPetInfo","","Tue Aug 13 18:51:47 TRT 2024","passed","Tue Aug 13 18:51:47 TRT 2024","","Pet Tests","Pet Tests","/v2/pet/12345 getPetInfo"
"","260","/v2/user/logout logoutUser","","Tue Aug 13 18:51:51 TRT 2024","passed","Tue Aug 13 18:51:52 TRT 2024","","User Tests","User Tests","/v2/user/logout logoutUser"
"","172","/v2/pet/12345a getPetInfoReturnsNull","","Tue Aug 13 18:51:48 TRT 2024","passed","Tue Aug 13 18:51:48 TRT 2024","","Pet Tests","Pet Tests","/v2/pet/12345a getPetInfoReturnsNull"
"","253","/v2/user/ecem updateUserFailure","","Tue Aug 13 18:51:51 TRT 2024","passed","Tue Aug 13 18:51:51 TRT 2024","","User Tests","User Tests","/v2/user/ecem updateUserFailure"
